reg,code,full_text,category,sub_cat,brand,sub_brand,company_name,business
6236804,96190000,"laurier morning block 340 napkins, 14 pcs шөнийн, хэмжээ: 34см, 1уут*14ш , 1 хайрцагт: 8 уут, эмэгтэйчүүдийн",Fem Care,Pads,Laurier,Laurier,Tushy Od Pharm LLC,PG
5811651,96190000,"5k price round diaper 20p өдөр тутам, 1хайрцагт:9 боодол, 1боодол:20ш, эмэгтэйчүүдийн",Fem Care,Panty,Unknown Brand,Unknown Brand,Sky hypermarket LLC,PG
5811651,96032100,"no brand daily toothbrush 6-pack зөөлөн үстэй, 1хайрцаг*26 багц: 1багц: 6ш, арилжааны",Oral Care,Toothbrush,No Brand,No Brand,Sky hypermarket LLC,PG
2659018,96190000,"merries air through tape type newborn up to 5000g 4901301437693 жин: 5кг хүртэл, 1хайрцаг*4боодол*68ш, хүүхдийн хэрэглээний",Baby Care,Diaper,Merries,Merries,Circle LLC,PG
5906261,96032100,"2080 toothbrush (elasticity wool) зөөлөн үстэй, 1 хайрцаг*16 багц/10ш/*160гр, амны хөндийн ариун цэврийн",Oral Care,Toothbrush,2080,2080,Mongolkorea store LLC,PG
6380085,96190000,"avanger хэмжээ:l, 1 хайрцагт*50 боодол*4ш, ххүхдийн",Baby Care,Diaper,Unknown Brand,Unknown Brand,Greenleaf biotech LLC,PG
7175281,96190000,"septona calm n care baby diapers maxi no4 (8-13kg) 52pcs (*4) (8605) fsc mix (tuev-coc-000989)ot -exports 2230100052001 ууттай, хөвөн зөөлөн, 1хайрцагт:4уут*52ш, хэмжээ:8-13кг, нярай хүүхдийн",Baby Care,Diaper,Septona,Septona,Nomin Cosmetics LLC,PG
2659018,96190000,"laurier happy skin for extra heavy day with wings 4901301378422 далавчтай, 1хайрцаг*18боодол*17ш, хэмжээ: l*25см, хувийн хэрэглээний",Fem Care,Pads,Laurier,Laurier,Circle LLC,PG
2659018,96190000,"laurier happy skin ultra slim extra heavy day with 4901301282750 далавчтай, өдрийн, 1хайрцаг*18боодол*17ш, хэмжээ: l*25см, хувийн хэрэглээний",Fem Care,Pads,Laurier,Laurier,Circle LLC,PG
6867154,96190000,"diaper size m, 60pcs *6bags хэмжээ:m, наадаг, 1хайрцаг*6боодол*60ш, тус бүрдээ ууттай, хүүхдийн",Baby Care,Diaper,Unknown Brand,Unknown Brand,Enkh Shiraana LLC,PG
6236804,96190000,"laurier ultra slim heavy-duty day night шөнийн, хэмжээ: 35см, 1уут*12ш , 1 хайрцагт: 16 уут, эмэгтэйчүүдийн",Fem Care,Pads,Laurier,Laurier,Tushy Od Pharm LLC,PG
5255937,96190000,"rascals-diapers-size 4 36pc count хөвөн зөөлөн материалтай, өнгө: цагаан, шингэнийг нэвтрүүлэхгүй, наадаг. 306 баглаа*6уут*36ш, хэмжээ:4 10-15кг жинтэй хүүхдэд зориулагдсан",Baby Care,Diaper,Rascal & Friends,Rascal & Friends,Brickland LLC,PG
5255937,96190000,"9307-rascals- diapers size4 хөвөн зөөлөн материалтай, өнгө: цагаан, шингэнийг нэвтрүүлэхгүй, 1уут*6 боодол, 1 боодол*36ш, 10-15кг жинтэй хүүхдэд зориулагдсан",Baby Care,Diaper,Rascal & Friends,Rascal & Friends,Brickland LLC,PG
5255937,96190000,"93226-rascals- diapers size6 хөвөн зөөлөн материалтай, өнгө: цагаан, шингэнийг нэвтрүүлэхгүй, 1уут*6 боодол, 1 боодол*30ш, 13-18кг жинтэй хүүхдэд зориулагдсан",Baby Care,Diaper,Rascal & Friends,Rascal & Friends,Brickland LLC,PG
2548429,96190000,"sofy good night slim 42cm 1хайрцаг*48боодол*4ш, ариун цэврийн",Fem Care,Pads,Sofy,Good Night,Tavanbogd LLC,PG
7175281,96190000,"septona calm n care baby diapers midi no3 (4-9kg) 28pcs (*4) (8611) fsc mix (tuev-coc-000989)ot - exports 2230100028001 ууттай, хөвөн зөөлөн, 1хайрцагт:4уут*28ш, хэмжээ:4-9кг, нярай хүүхдийн",Baby Care,Diaper,Septona,Septona,Nomin Cosmetics LLC,PG
5906261,96032100,"oralbi toothbrush - 4stage зөөлөн үстэй, хүүхдийн, 1 хайрцаг*96 багц/12ш/*30гр, амны хөндийн ариун цэврийн",Oral Care,Toothbrush,Oral B PI,Oral B PI,Mongolkorea store LLC,PG
6761879,96190000,"oxeye sanitary narkin pant өмсдөг, өнгө:цагаан, хэмжээ:l*700*700мм, шингээлт:200мл, савлагаа:1хайрцаг*48ууттай*уут тус бүрт*3ш",Fem Care,Panty,Oxeye,Oxeye,Best Force LLC,PG
